DATE,TIMESTAMP,XLAT,XLONG,HGT,RAINC,RAINNC,T_500hPa,T_700hPa,T_850hPa,QVAPOR_500,QVAPOR_700,QVAPOR_850,QCLOUD_500,QCLOUD_700,QCLOUD_850,QRAIN_500,QRAIN_700,QRAIN_850,QICE_500,QICE_700,QICE_850,QSNOW_500,QSNOW_700,QSNOW_850,QGRAUP_500,QGRAUP_700,QGRAUP_850,PRECIPITACION,LLUVIA
2015-02-04[00:00:00],1423004416.00000000,41.39646149,-1.22982788,554.39532471,0.00000000,0.00000000,240.57817078,259.63134766,269.32342529,0.00027543,0.00141667,0.00114952,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000219,0.00000219,0.00000038,0.00000821,0.00000000,0.00000000,0.00000000,0.00000000,3.54399991,1
2015-02-04[00:00:00],1423004416.00000000,41.39580154,-1.19384766,545.73046875,0.00000000,0.00000000,240.59184265,259.66622925,269.44058228,0.00029420,0.00133922,0.00112871,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000191,0.00000260,0.00000177,0.00000483,0.00000000,0.00000000,0.00000000,0.00000000,3.44799995,1
2015-02-04[00:00:00],1423004416.00000000,41.39513779,-1.15789795,551.13873291,0.00000000,0.00000000,240.60142517,259.70376587,269.54086304,0.00030631,0.00130380,0.00113613,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000174,0.00000250,0.00000215,0.00000230,0.00000000,0.00000000,0.00000000,0.00000000,3.42300010,1
2015-02-04[00:00:00],1423004416.00000000,41.39445496,-1.12194824,565.27197266,0.00000000,0.00000000,240.61328125,259.76995850,269.53808594,0.00031075,0.00130644,0.00116760,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000188,0.00000205,0.00000196,0.00000105,0.00000000,0.00000000,0.00000000,0.00000000,3.28399992,1
2015-02-04[00:00:00],1423004416.00000000,41.39377213,-1.08599854,587.62042236,0.00000000,0.00000000,240.62261963,259.89367676,269.19842529,0.00031658,0.00131722,0.00124070,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000203,0.00000111,0.00000083,0.00000035,0.00000000,0.00000000,0.00000000,0.00000000,3.41300011,1
2015-02-04[00:00:00],1423004416.00000000,41.39307404,-1.05004883,609.07250977,0.00000000,0.00000000,240.62731934,259.96697998,269.21151733,0.00031803,0.00132809,0.00124969,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000382,0.00000096,0.00000023,0.00000002,0.00000000,0.00000000,0.00000000,0.00000000,3.10599995,1
2015-02-04[00:00:00],1423004416.00000000,41.39237595,-1.01409912,626.05065918,0.00000000,0.00000000,240.62413025,260.01611328,269.35513306,0.00031349,0.00132575,0.00123881,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000768,0.00000147,0.00000005,0.00000059,0.00000000,0.00000000,0.00000000,0.00000000,2.84599996,1
2015-02-04[00:00:00],1423004416.00000000,41.39164352,-0.97814941,641.83587646,0.00000000,0.00000000,240.61906433,260.03253174,269.76419067,0.00030641,0.00131216,0.00119422,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00001302,0.00000278,0.00000016,0.00000115,0.00000000,0.00000000,0.00000000,0.00000000,2.61500001,1
2015-02-04[00:00:00],1423004416.00000000,41.39091110,-0.94219971,640.91918945,0.00000000,0.00000000,240.61662292,259.98684692,270.14208984,0.00030133,0.00128274,0.00115092,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000001,0.00001565,0.00000404,0.00000007,0.00000660,0.00000000,0.00000000,0.00000000,0.00000000,2.44300008,1
2015-02-04[00:00:00],1423004416.00000000,41.39017105,-0.90625000,621.98248291,0.00000000,0.00000000,240.62228394,259.87960815,270.43164062,0.00029942,0.00123464,0.00112413,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,0.00001600,0.00000556,0.00000014,0.00000717,0.00000055,0.00000000,0.00000000,0.00000000,2.47199988,1
2015-02-04[00:00:00],1423004416.00000000,41.38941574,-0.87030029,584.02612305,0.00000000,0.00000000,240.62806702,259.70367432,270.78863525,0.00030513,0.00118321,0.00110014,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000067,0.00001402,0.00000718,0.00000011,0.00001643,0.00000195,0.00000000,0.00000000,0.00000000,2.62899995,1
2015-02-04[00:00:00],1423004416.00000000,41.38864899,-0.83435059,539.98852539,0.00000000,0.00000000,240.62155151,259.58447266,271.05563354,0.00031717,0.00116780,0.00109766,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00001347,0.00000925,0.00000010,0.00002709,0.00000365,0.00000000,0.00000000,0.00000000,2.70000005,1
2015-02-04[00:00:00],1423004416.00000000,41.38787460,-0.79843140,489.27490234,0.00000000,0.00000000,240.61584473,259.51150513,271.19094849,0.00033198,0.00117287,0.00109929,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000021,0.00001770,0.00001113,0.00000029,0.00005356,0.00001774,0.00000000,0.00000001,0.00000001,2.79699993,1
2015-02-04[00:00:00],1423004416.00000000,41.38708496,-0.76248169,434.06774902,0.00000000,0.00000000,240.60047913,259.51672363,271.40179443,0.00035313,0.00120183,0.00106187,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,0.00002863,0.00001294,0.00000055,0.00009051,0.00004318,0.00000000,0.00000001,0.00000002,2.54200006,1
2015-02-04[00:00:00],1423004416.00000000,41.38627625,-0.72653198,384.08764648,0.00000000,0.00000000,240.62226868,259.53991699,271.58581543,0.00036586,0.00124659,0.00103919,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000188,0.00003270,0.00001540,0.00000314,0.00011201,0.00005786,0.00000000,0.00000002,0.00000002,2.53399992,1
2015-02-04[00:00:00],1423004416.00000000,41.38546753,-0.69058228,339.91662598,0.00000000,0.00000000,240.67018127,259.57293701,271.58160400,0.00037253,0.00130792,0.00106004,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00001109,0.00003254,0.00001639,0.00000779,0.00012242,0.00005654,0.00000000,0.00000003,0.00000002,2.51300001,1
2015-02-04[00:00:00],1423004416.00000000,41.38464355,-0.65466309,305.06817627,0.00000000,0.00000000,240.74226379,259.59933472,271.36346436,0.00037223,0.00137806,0.00112989,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00002657,0.00002512,0.00001655,0.00001407,0.00012031,0.00005272,0.00000001,0.00000004,0.00000002,2.47000003,1
2015-02-04[00:00:00],1423004416.00000000,41.38381958,-0.61871338,272.60073853,0.00000000,0.00000000,240.79879761,259.60150146,271.19772339,0.00037286,0.00142864,0.00118471,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00003797,0.00001888,0.00001569,0.00002274,0.00011733,0.00004588,0.00000001,0.00000004,0.00000002,2.62500000,1
2015-02-04[00:00:00],1423004416.00000000,41.38296127,-0.58276367,245.43513489,0.00000000,0.00000000,240.83450317,259.59393311,271.07116699,0.00037406,0.00146658,0.00122840,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00004577,0.00001451,0.00001413,0.00003303,0.00010241,0.00003640,0.00000001,0.00000004,0.00000001,2.61199999,1
2015-02-04[00:00:00],1423004416.00000000,41.38211060,-0.54684448,222.01402283,0.00000000,0.00000000,240.85337830,259.56066895,271.00350952,0.00037595,0.00150035,0.00125395,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00004915,0.00000590,0.00001157,0.00004528,0.00007499,0.00002137,0.00000001,0.00000001,0.00000000,2.59999990,1
2015-02-04[00:00:00],1423004416.00000000,41.38123703,-0.51089478,209.66424561,0.00000000,0.00000000,240.88388062,259.58435059,270.93917847,0.00037650,0.00150204,0.00127386,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00005281,0.00000513,0.00001007,0.00005492,0.00007237,0.00001603,0.00000001,0.00000001,0.00000000,2.49200010,1
2015-02-04[00:00:00],1423004416.00000000,41.38034821,-0.47494507,205.27870178,0.00000000,0.00000000,240.90034485,259.64727783,270.96762085,0.00037604,0.00148154,0.00128173,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00005573,0.00000923,0.00000923,0.00006235,0.00008715,0.00001758,0.00000001,0.00000002,0.00000000,2.77999997,1
